epoch,step,train_loss,val_loss
0,49,23039.2734375,
0,99,20152.70703125,
0,149,19747.146484375,
0,199,20084.8203125,
0,249,19249.947265625,
0,299,19159.880859375,
0,349,18205.45703125,
0,399,18891.107421875,
0,449,17377.888671875,
0,499,16782.474609375,
0,549,17149.755859375,
0,599,16494.546875,
0,649,16302.74609375,
0,699,16222.208984375,
0,749,15946.1962890625,
0,799,15873.291015625,
0,849,15878.044921875,
0,859,,15970.2412109375
1,899,15084.865234375,
1,949,15185.0810546875,
1,999,15723.7724609375,
1,1049,14738.087890625,
1,1099,16375.951171875,
1,1149,14909.5029296875,
1,1199,15188.4111328125,
1,1249,16099.416015625,
1,1299,15128.716796875,
1,1349,14750.4033203125,
1,1399,15889.0009765625,
1,1449,14834.169921875,
1,1499,15172.7314453125,
1,1549,15208.7021484375,
1,1599,14234.6748046875,
1,1649,13803.4814453125,
1,1699,15282.884765625,
1,1719,,14631.1455078125
2,1749,14184.048828125,
2,1799,14386.197265625,
2,1849,14087.5380859375,
2,1899,14680.78515625,
2,1949,14253.39453125,
2,1999,14902.404296875,
2,2049,13716.890625,
2,2099,14368.068359375,
2,2149,14463.7734375,
2,2199,14553.451171875,
2,2249,14093.4873046875,
2,2299,14111.65234375,
2,2349,13956.3408203125,
2,2399,13839.8671875,
2,2449,14838.6201171875,
2,2499,14686.125,
2,2549,14973.2119140625,
2,2579,,14120.9775390625
3,2599,14877.931640625,
3,2649,14095.0615234375,
3,2699,14127.544921875,
3,2749,12852.45703125,
3,2799,14198.021484375,
3,2849,13630.583984375,
3,2899,13463.5302734375,
3,2949,13856.12890625,
3,2999,14491.3720703125,
3,3049,13687.080078125,
3,3099,14680.1787109375,
3,3149,13845.98046875,
3,3199,14584.462890625,
3,3249,14132.75390625,
3,3299,12966.2490234375,
3,3349,13389.140625,
3,3399,13291.29296875,
3,3439,,13843.4111328125
4,3449,13291.57421875,
4,3499,13935.6337890625,
4,3549,13429.4609375,
4,3599,14425.0615234375,
4,3649,13029.875,
4,3699,13656.220703125,
4,3749,13571.9609375,
4,3799,13923.41796875,
4,3849,13374.130859375,
4,3899,13504.33203125,
4,3949,13682.279296875,
4,3999,14160.4296875,
4,4049,13711.3505859375,
4,4099,14295.443359375,
4,4149,13965.095703125,
4,4199,13113.73046875,
4,4249,13247.3095703125,
4,4299,5002.80126953125,
4,4299,,13643.8994140625
