epoch,step,train_loss,val_loss
0,49,13027.498046875,
0,99,12687.8359375,
0,149,11590.8798828125,
0,199,11324.044921875,
0,249,10234.1669921875,
0,299,9319.5224609375,
0,349,9974.5703125,
0,399,9335.5498046875,
0,449,9729.064453125,
0,499,8363.6953125,
0,549,8686.197265625,
0,599,8933.6708984375,
0,649,8632.9287109375,
0,699,8066.52294921875,
0,749,8321.8828125,
0,799,8285.6845703125,
0,849,8010.615234375,
0,859,,7977.43994140625
1,899,7579.88818359375,
1,949,7286.92333984375,
1,999,7711.7939453125,
1,1049,7506.19189453125,
1,1099,7437.8037109375,
1,1149,7646.95263671875,
1,1199,7708.806640625,
1,1249,7395.923828125,
1,1299,7322.3642578125,
1,1349,7473.8740234375,
1,1399,7288.474609375,
1,1449,6451.76416015625,
1,1499,7100.03125,
1,1549,7396.9677734375,
1,1599,6914.9853515625,
1,1649,7232.927734375,
1,1699,7331.7568359375,
1,1719,,7262.05029296875
2,1749,7525.23681640625,
2,1799,6413.9296875,
2,1849,7060.2919921875,
2,1899,7045.49755859375,
2,1949,7000.92431640625,
2,1999,6800.890625,
2,2049,7210.3671875,
2,2099,6655.68798828125,
2,2149,7286.48388671875,
2,2199,7159.4384765625,
2,2249,6728.2880859375,
2,2299,7175.43798828125,
2,2349,6412.70068359375,
2,2399,6894.03759765625,
2,2449,7040.01708984375,
2,2499,7031.0390625,
2,2549,6668.7041015625,
2,2579,,6884.16943359375
3,2599,6655.7509765625,
3,2649,6903.2861328125,
3,2699,6790.0771484375,
3,2749,7004.078125,
3,2799,6608.765625,
3,2849,6999.85400390625,
3,2899,6835.48046875,
3,2949,6438.29541015625,
3,2999,6257.341796875,
3,3049,6575.99560546875,
3,3099,6969.2998046875,
3,3149,6432.82568359375,
3,3199,6721.5546875,
3,3249,6770.265625,
3,3299,6762.0966796875,
3,3349,6731.15380859375,
3,3399,6623.5107421875,
3,3439,,6737.5078125
4,3449,7126.556640625,
4,3499,6925.10205078125,
4,3549,6757.3232421875,
4,3599,7076.15625,
4,3649,6694.70556640625,
4,3699,6563.24169921875,
4,3749,6893.70751953125,
4,3799,6407.4892578125,
4,3849,6445.3349609375,
4,3899,6927.75048828125,
4,3949,6631.6875,
4,3999,6570.17578125,
4,4049,6696.85400390625,
4,4099,6717.1142578125,
4,4149,6867.3388671875,
4,4199,6523.93896484375,
4,4249,6337.359375,
4,4299,2370.9775390625,
4,4299,,6713.76953125
5,4349,6819.4560546875,
5,4399,6354.9990234375,
5,4449,6447.63037109375,
5,4499,6313.6650390625,
5,4549,6200.40625,
5,4599,6232.93310546875,
5,4649,6930.283203125,
5,4699,6352.81103515625,
5,4749,6424.8544921875,
5,4799,6072.35205078125,
5,4849,6188.1259765625,
5,4899,6198.0751953125,
5,4949,6250.13232421875,
5,4999,6325.00390625,
5,5049,6345.8427734375,
5,5099,6685.8251953125,
5,5149,6624.32177734375,
5,5159,,6571.47412109375
6,5199,6875.62255859375,
6,5249,6812.0966796875,
6,5299,6884.841796875,
6,5349,6545.0009765625,
6,5399,6753.73974609375,
6,5449,6302.77490234375,
6,5499,6327.3623046875,
6,5549,6317.14599609375,
6,5599,6175.5869140625,
6,5649,6563.68505859375,
6,5699,6449.40185546875,
6,5749,6724.0029296875,
6,5799,6843.2802734375,
6,5849,6366.59326171875,
6,5899,6723.28076171875,
6,5949,6361.3515625,
6,5999,5939.44482421875,
6,6019,,6506.32421875
7,6049,6303.703125,
7,6099,6049.52099609375,
7,6149,6140.51953125,
7,6199,6289.59375,
7,6249,6363.19775390625,
7,6299,6103.5478515625,
7,6349,6148.0791015625,
7,6399,6452.62890625,
7,6449,6313.2529296875,
7,6499,6483.32861328125,
7,6549,6322.505859375,
7,6599,6320.5625,
7,6649,6216.607421875,
7,6699,6322.2265625,
7,6749,5963.0048828125,
7,6799,6291.24609375,
7,6849,6448.7021484375,
7,6879,,6479.1630859375
8,6899,5984.80615234375,
8,6949,6010.95703125,
8,6999,6474.392578125,
8,7049,6380.123046875,
8,7099,6566.72216796875,
8,7149,6466.44384765625,
8,7199,6210.33203125,
8,7249,5905.6083984375,
8,7299,6295.4248046875,
8,7349,6271.66357421875,
8,7399,6143.69482421875,
8,7449,6337.33203125,
8,7499,6204.25634765625,
8,7549,6205.84326171875,
8,7599,6461.1943359375,
8,7649,6241.16259765625,
8,7699,6114.7373046875,
8,7739,,6436.53271484375
9,7749,6119.97119140625,
9,7799,5924.599609375,
9,7849,6179.498046875,
9,7899,5921.107421875,
9,7949,6164.6669921875,
9,7999,6525.5029296875,
9,8049,6160.931640625,
9,8099,6124.013671875,
9,8149,6018.83056640625,
9,8199,6260.1279296875,
9,8249,6175.25537109375,
9,8299,6711.119140625,
9,8349,6084.9990234375,
9,8399,6502.9541015625,
9,8449,6268.2236328125,
9,8499,6388.91455078125,
9,8549,6068.263671875,
9,8599,2456.869140625,
9,8599,,6449.4677734375
