epoch,step,train_loss,val_loss
0,49,13299.873046875,
0,99,12334.083984375,
0,149,11547.4736328125,
0,199,11023.470703125,
0,249,10413.908203125,
0,299,9762.630859375,
0,349,10324.8505859375,
0,399,9014.626953125,
0,449,9394.3203125,
0,499,8785.8076171875,
0,549,8663.65234375,
0,599,8504.203125,
0,649,8402.337890625,
0,699,8994.341796875,
0,749,8109.548828125,
0,799,8125.15673828125,
0,849,7637.796875,
0,859,,7998.42822265625
1,899,8024.4375,
1,949,7877.2431640625,
1,999,7448.74365234375,
1,1049,7328.59423828125,
1,1099,7632.947265625,
1,1149,7830.73388671875,
1,1199,7037.87548828125,
1,1249,7547.349609375,
1,1299,8059.21728515625,
1,1349,7653.66552734375,
1,1399,7504.75,
1,1449,7629.9404296875,
1,1499,7283.37060546875,
1,1549,7361.0859375,
1,1599,7289.400390625,
1,1649,7109.4375,
1,1699,7095.81103515625,
1,1719,,7239.7734375
2,1749,6858.97900390625,
2,1799,7158.29833984375,
2,1849,7454.19140625,
2,1899,7097.2626953125,
2,1949,7089.005859375,
2,1999,7103.94384765625,
2,2049,6999.203125,
2,2099,7109.5205078125,
2,2149,6645.41650390625,
2,2199,7199.7412109375,
2,2249,6409.55908203125,
2,2299,6627.48095703125,
2,2349,6536.8544921875,
2,2399,7309.5302734375,
2,2449,6935.041015625,
2,2499,7034.6396484375,
2,2549,6624.90185546875,
2,2579,,6931.6181640625
3,2599,6980.15234375,
3,2649,7084.34423828125,
3,2699,6753.240234375,
3,2749,7040.236328125,
3,2799,6441.0478515625,
3,2849,6800.314453125,
3,2899,6963.5966796875,
3,2949,6588.45849609375,
3,2999,6918.9775390625,
3,3049,6808.43017578125,
3,3099,6504.99462890625,
3,3149,6326.7802734375,
3,3199,6682.8779296875,
3,3249,6512.298828125,
3,3299,6588.154296875,
3,3349,6668.8857421875,
3,3399,7006.6396484375,
3,3439,,6720.57763671875
4,3449,6154.61572265625,
4,3499,6781.115234375,
4,3549,7256.6220703125,
4,3599,6972.23828125,
4,3649,6293.02880859375,
4,3699,6764.8017578125,
4,3749,6582.43359375,
4,3799,6349.671875,
4,3849,6647.86474609375,
4,3899,6930.40380859375,
4,3949,6817.0126953125,
4,3999,6656.162109375,
4,4049,6606.81591796875,
4,4099,6437.02294921875,
4,4149,6693.3212890625,
4,4199,6597.22119140625,
4,4249,6922.0888671875,
4,4299,2501.200927734375,
4,4299,,6621.6953125
5,4349,6144.1884765625,
5,4399,6676.255859375,
5,4449,7175.8486328125,
5,4499,6390.22509765625,
5,4549,6517.9189453125,
5,4599,6654.6279296875,
5,4649,6711.4052734375,
5,4699,6195.01513671875,
5,4749,6213.64306640625,
5,4799,6703.921875,
5,4849,6549.86279296875,
5,4899,6741.21435546875,
5,4949,6254.92431640625,
5,4999,6526.62353515625,
5,5049,6478.88671875,
5,5099,6529.7958984375,
5,5149,6773.55859375,
5,5159,,6522.32373046875
6,5199,6376.2880859375,
6,5249,6139.61474609375,
6,5299,6179.1435546875,
6,5349,6358.119140625,
6,5399,6504.787109375,
6,5449,6366.97119140625,
6,5499,6721.7646484375,
6,5549,6517.12158203125,
6,5599,6219.341796875,
6,5649,6612.63037109375,
6,5699,6542.7841796875,
6,5749,6325.40234375,
6,5799,6327.3984375,
6,5849,6789.8955078125,
6,5899,6400.8603515625,
6,5949,6598.515625,
6,5999,6450.2333984375,
6,6019,,6527.79541015625
7,6049,6622.08203125,
7,6099,6396.154296875,
7,6149,6294.224609375,
7,6199,6471.79638671875,
7,6249,5892.8671875,
7,6299,6474.98583984375,
7,6349,6310.19775390625,
7,6399,6336.1396484375,
7,6449,5787.2099609375,
7,6499,6667.708984375,
7,6549,5962.26171875,
7,6599,6513.453125,
7,6649,6425.2861328125,
7,6699,6501.216796875,
7,6749,6236.6513671875,
7,6799,6056.142578125,
7,6849,6202.61181640625,
7,6879,,6423.0654296875
8,6899,6084.58056640625,
8,6949,6278.755859375,
8,6999,6610.029296875,
8,7049,6489.6455078125,
8,7099,6506.98583984375,
8,7149,6208.07177734375,
8,7199,6520.64990234375,
8,7249,6309.931640625,
8,7299,6013.1962890625,
8,7349,6363.19873046875,
8,7399,6619.732421875,
8,7449,6807.412109375,
8,7499,6069.0927734375,
8,7549,5964.3505859375,
8,7599,6159.5947265625,
8,7649,5872.5712890625,
8,7699,6315.482421875,
8,7739,,6436.67724609375
