epoch,step,train_loss,val_loss
0,49,13326.82421875,
0,99,12430.84765625,
0,149,11546.0986328125,
0,199,11019.60546875,
0,249,10459.7802734375,
0,299,9896.958984375,
0,349,9050.951171875,
0,399,9261.1474609375,
0,449,9193.681640625,
0,499,8683.0244140625,
0,549,8333.8232421875,
0,599,8728.4208984375,
0,649,8184.92431640625,
0,699,8431.26953125,
0,749,7769.75146484375,
0,799,8247.5390625,
0,849,8191.2255859375,
0,859,,7887.02392578125
1,899,7230.49365234375,
1,949,7530.78857421875,
1,999,7470.8251953125,
1,1049,7185.7724609375,
1,1099,7409.7802734375,
1,1149,7473.68359375,
1,1199,7427.96484375,
1,1249,7688.322265625,
1,1299,7239.03857421875,
1,1349,7509.1767578125,
1,1399,6778.22021484375,
1,1449,6968.818359375,
1,1499,7074.0986328125,
1,1549,6964.02490234375,
1,1599,7086.1943359375,
1,1649,7387.6669921875,
1,1699,7225.18212890625,
1,1719,,7225.2158203125
2,1749,7276.78466796875,
2,1799,6647.99951171875,
2,1849,6316.888671875,
2,1899,6946.93798828125,
2,1949,7256.74169921875,
2,1999,7048.6181640625,
2,2049,7181.45703125,
2,2099,7085.65771484375,
2,2149,7078.4736328125,
2,2199,7170.849609375,
2,2249,6572.685546875,
2,2299,7015.47509765625,
2,2349,6819.7412109375,
2,2399,6530.58349609375,
2,2449,7151.47900390625,
2,2499,7345.5556640625,
2,2549,7119.51953125,
2,2579,,6931.06982421875
3,2599,6740.66943359375,
3,2649,7043.03662109375,
3,2699,6858.6279296875,
3,2749,6813.74755859375,
3,2799,7043.68115234375,
3,2849,6895.7177734375,
3,2899,6754.15771484375,
3,2949,6861.6201171875,
3,2999,6945.77490234375,
3,3049,6950.57080078125,
3,3099,6871.759765625,
3,3149,6716.83544921875,
3,3199,7106.216796875,
3,3249,6529.44873046875,
3,3299,6381.814453125,
3,3349,6936.345703125,
3,3399,6462.478515625,
3,3439,,6802.671875
4,3449,6804.6953125,
4,3499,6349.53759765625,
4,3549,6759.59326171875,
4,3599,7008.2578125,
4,3649,6645.91748046875,
4,3699,6543.42236328125,
4,3749,7079.58203125,
4,3799,6593.65185546875,
4,3849,6456.86279296875,
4,3899,6749.90576171875,
4,3949,6614.54150390625,
4,3999,7011.27978515625,
4,4049,6857.73876953125,
4,4099,6336.39208984375,
4,4149,6380.083984375,
4,4199,6264.65234375,
4,4249,6803.50830078125,
4,4299,2411.20654296875,
4,4299,,6675.5322265625
5,4349,7059.3798828125,
5,4399,6628.48974609375,
5,4449,6838.0830078125,
5,4499,6538.8037109375,
5,4549,6385.31494140625,
5,4599,6749.22021484375,
5,4649,6689.30615234375,
5,4699,6356.22119140625,
5,4749,6434.87353515625,
5,4799,6290.35107421875,
5,4849,6666.74462890625,
5,4899,5987.5390625,
5,4949,6575.41748046875,
5,4999,6705.74072265625,
5,5049,6482.8828125,
5,5099,6669.9462890625,
5,5149,6256.21435546875,
5,5159,,6592.0146484375
6,5199,5977.8125,
6,5249,6443.88427734375,
6,5299,6193.810546875,
6,5349,6528.18115234375,
6,5399,6311.92333984375,
6,5449,7119.26025390625,
6,5499,6311.7490234375,
6,5549,6410.21435546875,
6,5599,6651.095703125,
6,5649,6764.33154296875,
6,5699,6432.0302734375,
6,5749,6566.0439453125,
6,5799,6435.2333984375,
6,5849,6600.3203125,
6,5899,6710.43994140625,
6,5949,6328.84326171875,
6,5999,6497.134765625,
6,6019,,6484.9306640625
