epoch,step,train_loss,val_loss
0,49,13134.1806640625,
0,99,12702.265625,
0,149,13208.2939453125,
0,199,11178.267578125,
0,249,12232.0576171875,
0,299,11123.8291015625,
0,349,10943.8974609375,
0,399,10714.208984375,
0,449,9433.505859375,
0,499,9950.4775390625,
0,549,9001.302734375,
0,599,9060.224609375,
0,649,9013.1572265625,
0,699,9102.541015625,
0,749,8210.3125,
0,799,8654.2900390625,
0,849,8038.646484375,
0,859,,8443.353515625
1,899,8187.49169921875,
1,949,8229.580078125,
1,999,7886.76025390625,
1,1049,8112.6513671875,
1,1099,8166.12353515625,
1,1149,7781.287109375,
1,1199,8143.23193359375,
1,1249,7535.853515625,
1,1299,7925.234375,
1,1349,7608.3193359375,
1,1399,7554.62060546875,
1,1449,7959.4638671875,
1,1499,7529.59228515625,
1,1549,7609.1923828125,
1,1599,7201.61962890625,
1,1649,7388.58056640625,
1,1699,7358.056640625,
1,1719,,7560.41943359375
2,1749,7853.3583984375,
2,1799,7620.259765625,
2,1849,7536.1591796875,
2,1899,7305.23779296875,
2,1949,7306.412109375,
2,1999,7535.7880859375,
2,2049,7333.6005859375,
2,2099,7046.7353515625,
2,2149,6824.2412109375,
2,2199,7568.150390625,
2,2249,7505.115234375,
2,2299,7276.076171875,
2,2349,7217.6015625,
2,2399,7354.16357421875,
2,2449,7710.9677734375,
2,2499,7433.458984375,
2,2549,7177.46142578125,
2,2579,,7241.31201171875
3,2599,7043.13134765625,
3,2649,7131.568359375,
3,2699,7379.7197265625,
3,2749,6889.0029296875,
3,2799,7231.14208984375,
3,2849,7451.87109375,
3,2899,7133.5625,
3,2949,6569.322265625,
3,2999,6939.119140625,
3,3049,6665.83544921875,
3,3099,7026.4736328125,
3,3149,6794.54833984375,
3,3199,7205.62890625,
3,3249,7428.765625,
3,3299,7265.09912109375,
3,3349,7004.89111328125,
3,3399,6791.228515625,
3,3439,,7042.2666015625
4,3449,6978.0966796875,
4,3499,6693.47021484375,
4,3549,7009.875,
4,3599,6824.7568359375,
4,3649,7115.607421875,
4,3699,7613.40869140625,
4,3749,6820.0791015625,
4,3799,6733.138671875,
4,3849,6671.5966796875,
4,3899,7109.521484375,
4,3949,6829.53076171875,
4,3999,6661.3505859375,
4,4049,6728.1025390625,
4,4099,6719.4423828125,
4,4149,7250.0087890625,
4,4199,6946.21923828125,
4,4249,6891.7763671875,
4,4299,2669.60986328125,
4,4299,,6910.8662109375
5,4349,7373.767578125,
5,4399,6738.14306640625,
5,4449,6903.72265625,
5,4499,7071.900390625,
5,4549,6746.35986328125,
5,4599,6726.67333984375,
5,4649,6701.83544921875,
5,4699,7238.0107421875,
5,4749,7063.9921875,
5,4799,7014.7734375,
5,4849,7166.89306640625,
5,4899,6712.232421875,
5,4949,6803.685546875,
5,4999,6828.1162109375,
5,5049,6467.056640625,
5,5099,6635.0546875,
5,5149,6789.5068359375,
5,5159,,6815.9208984375
6,5199,6647.23583984375,
6,5249,6610.0048828125,
6,5299,7067.8125,
6,5349,6351.25830078125,
6,5399,6471.0859375,
6,5449,6825.8359375,
6,5499,6415.97119140625,
6,5549,6594.177734375,
6,5599,7042.15087890625,
