epoch,step,train_loss,val_loss
0,49,22032.00390625,
0,99,19694.337890625,
0,149,19231.64453125,
0,199,18535.451171875,
0,249,18442.642578125,
0,299,17377.263671875,
0,349,18159.095703125,
0,399,17187.10546875,
0,449,17957.71875,
0,499,14834.421875,
0,549,17108.587890625,
0,599,17790.150390625,
0,649,15619.578125,
0,699,15811.71484375,
0,749,17428.93359375,
0,799,16578.32421875,
0,849,16740.58984375,
0,859,,16393.07421875
1,899,17665.4609375,
1,949,17051.537109375,
1,999,16101.3310546875,
1,1049,16201.9931640625,
1,1099,16534.8984375,
1,1149,16232.3359375,
1,1199,16200.6826171875,
1,1249,17064.4453125,
1,1299,16802.681640625,
1,1349,16319.41796875,
1,1399,15052.021484375,
1,1449,15544.943359375,
1,1499,16124.982421875,
1,1549,16820.455078125,
1,1599,16189.4404296875,
1,1649,16112.4365234375,
1,1699,16689.826171875,
1,1719,,15930.3681640625
2,1749,16262.7431640625,
2,1799,16285.8544921875,
2,1849,16954.12890625,
2,1899,16374.716796875,
2,1949,17215.2734375,
2,1999,15890.1650390625,
2,2049,15343.42578125,
2,2099,15511.20703125,
2,2149,15658.994140625,
2,2199,16931.802734375,
2,2249,15929.2275390625,
2,2299,14531.939453125,
2,2349,16603.244140625,
2,2399,16406.978515625,
2,2449,15717.232421875,
2,2499,15862.0869140625,
2,2549,16098.8857421875,
2,2579,,15778.734375
3,2599,15707.537109375,
3,2649,15402.849609375,
3,2699,15893.328125,
3,2749,17058.822265625,
3,2799,16024.0419921875,
3,2849,15407.81640625,
3,2899,15959.6328125,
3,2949,15909.3330078125,
3,2999,16180.6904296875,
3,3049,15215.380859375,
3,3099,15079.3134765625,
3,3149,16428.02734375,
3,3199,15519.8173828125,
3,3249,14743.275390625,
3,3299,15603.9453125,
3,3349,15229.125,
3,3399,16065.1494140625,
3,3439,,15665.2587890625
4,3449,16400.611328125,
4,3499,14626.09375,
4,3549,16068.7900390625,
4,3599,14175.4873046875,
4,3649,16843.25390625,
4,3699,15211.6806640625,
4,3749,15762.068359375,
4,3799,14707.4423828125,
4,3849,16138.740234375,
4,3899,16599.87109375,
4,3949,15404.8515625,
4,3999,15951.5703125,
4,4049,15670.310546875,
4,4099,16597.908203125,
4,4149,15099.900390625,
4,4199,15224.2119140625,
4,4249,15464.83203125,
4,4299,5373.76904296875,
4,4299,,15589.6171875
5,4349,15460.556640625,
5,4399,14129.5009765625,
5,4449,15247.78515625,
5,4499,14406.6474609375,
5,4549,14983.634765625,
5,4599,14964.87890625,
5,4649,15517.4521484375,
5,4699,15068.59375,
5,4749,15070.201171875,
5,4799,15446.9296875,
5,4849,14916.7890625,
5,4899,15700.767578125,
5,4949,16300.794921875,
5,4999,15679.435546875,
5,5049,16402.869140625,
5,5099,15362.900390625,
5,5149,15572.451171875,
5,5159,,15508.400390625
6,5199,14961.8984375,
6,5249,15336.802734375,
6,5299,15449.4267578125,
6,5349,16690.8828125,
6,5399,15352.9306640625,
6,5449,15861.3173828125,
6,5499,15497.671875,
6,5549,15564.412109375,
6,5599,15502.435546875,
6,5649,15361.7373046875,
6,5699,15130.3798828125,
6,5749,15480.8447265625,
6,5799,15626.7685546875,
6,5849,15964.46875,
6,5899,15855.7275390625,
6,5949,14880.947265625,
6,5999,14643.599609375,
6,6019,,15470.548828125
7,6049,14518.939453125,
7,6099,16159.46484375,
7,6149,15224.9541015625,
7,6199,15203.01953125,
7,6249,16505.375,
7,6299,16601.90625,
7,6349,14845.986328125,
7,6399,15270.521484375,
7,6449,15491.400390625,
7,6499,15237.6982421875,
7,6549,16336.46875,
7,6599,15674.3896484375,
7,6649,14175.810546875,
7,6699,15451.6845703125,
7,6749,15700.732421875,
7,6799,15777.501953125,
7,6849,15363.982421875,
7,6879,,15455.9443359375
8,6899,15321.869140625,
8,6949,16258.814453125,
8,6999,15734.107421875,
8,7049,14891.16796875,
8,7099,14421.83203125,
8,7149,16293.29296875,
8,7199,14981.6728515625,
8,7249,15564.46875,
8,7299,14209.3232421875,
8,7349,15153.58203125,
8,7399,15373.1767578125,
8,7449,15714.6845703125,
8,7499,14795.18359375,
8,7549,15724.298828125,
8,7599,16248.388671875,
8,7649,15341.546875,
8,7699,15875.107421875,
8,7739,,15401.966796875
