epoch,step,train_loss,val_loss
0,49,22885.984375,
0,99,20090.126953125,
0,149,19011.607421875,
0,199,18420.859375,
0,249,17799.533203125,
0,299,17780.3125,
0,349,17588.4140625,
0,399,16815.205078125,
0,449,17052.712890625,
0,499,15784.7197265625,
0,549,15676.580078125,
0,599,15838.56640625,
0,649,16420.66015625,
0,699,15132.517578125,
0,749,16337.169921875,
0,799,15381.4697265625,
0,849,14176.8564453125,
0,859,,15320.134765625
1,899,15873.19921875,
1,949,14802.7685546875,
1,999,16307.9306640625,
1,1049,14405.2939453125,
1,1099,14407.6708984375,
1,1149,15106.5693359375,
1,1199,14867.80078125,
1,1249,14570.75390625,
1,1299,15024.650390625,
1,1349,15093.2763671875,
1,1399,13735.88671875,
1,1449,13661.916015625,
1,1499,14427.0009765625,
1,1549,13131.6572265625,
1,1599,13800.6435546875,
1,1649,14233.6171875,
1,1699,14658.912109375,
1,1719,,14171.6513671875
2,1749,14163.8984375,
2,1799,13160.6142578125,
2,1849,14423.04296875,
2,1899,14178.884765625,
2,1949,13692.1337890625,
2,1999,14641.3740234375,
2,2049,13957.8046875,
2,2099,13412.0673828125,
2,2149,13624.8095703125,
2,2199,14203.4052734375,
2,2249,13935.408203125,
2,2299,13757.61328125,
2,2349,12449.55859375,
2,2399,13896.6875,
2,2449,14641.07421875,
2,2499,13089.720703125,
2,2549,14214.6455078125,
2,2579,,13746.16015625
3,2599,12906.404296875,
3,2649,13555.2373046875,
3,2699,13818.8916015625,
3,2749,13839.61328125,
3,2799,13027.23828125,
3,2849,14067.447265625,
3,2899,13960.5390625,
3,2949,13245.6083984375,
3,2999,13491.533203125,
3,3049,13824.029296875,
3,3099,13797.82421875,
3,3149,13437.0927734375,
3,3199,13273.064453125,
3,3249,13405.0712890625,
3,3299,13714.4599609375,
3,3349,13470.0556640625,
3,3399,12669.5498046875,
3,3439,,13461.5517578125
4,3449,13557.724609375,
4,3499,13515.7001953125,
4,3549,14428.119140625,
4,3599,13000.984375,
4,3649,13710.931640625,
4,3699,13779.779296875,
4,3749,13478.2783203125,
4,3799,12482.0283203125,
4,3849,12628.5390625,
4,3899,12108.6923828125,
4,3949,14012.6474609375,
4,3999,12915.236328125,
4,4049,13924.9423828125,
4,4099,13477.6279296875,
4,4149,13386.720703125,
4,4199,14037.265625,
4,4249,12879.7548828125,
4,4299,5097.40576171875,
4,4299,,13296.7421875
5,4349,12847.427734375,
5,4399,13881.0166015625,
5,4449,13114.986328125,
5,4499,12962.5830078125,
5,4549,12730.7783203125,
5,4599,13306.681640625,
5,4649,12801.94140625,
5,4699,13206.736328125,
5,4749,12821.630859375,
5,4799,13428.3759765625,
5,4849,13481.2451171875,
5,4899,13371.92578125,
5,4949,13603.9677734375,
5,4999,13459.326171875,
5,5049,13137.26953125,
5,5099,12527.3525390625,
5,5149,12813.37109375,
5,5159,,13174.6171875
6,5199,12149.6171875,
6,5249,13054.2470703125,
6,5299,12923.326171875,
6,5349,12944.4892578125,
6,5399,12534.9658203125,
6,5449,13372.2119140625,
6,5499,13479.73828125,
6,5549,12777.8603515625,
6,5599,12521.5341796875,
6,5649,12751.056640625,
6,5699,12589.091796875,
6,5749,13345.00390625,
6,5799,13895.7890625,
6,5849,12530.255859375,
6,5899,13296.880859375,
6,5949,13443.5048828125,
6,5999,12487.798828125,
6,6019,,13054.7978515625
7,6049,13613.935546875,
7,6099,12764.3427734375,
7,6149,12997.662109375,
7,6199,12687.94140625,
7,6249,13549.42578125,
7,6299,12344.5830078125,
7,6349,13710.681640625,
7,6399,12856.587890625,
7,6449,13056.193359375,
7,6499,13473.6953125,
7,6549,12125.9306640625,
7,6599,13198.58203125,
7,6649,13052.7529296875,
7,6699,12405.88671875,
7,6749,13569.3720703125,
7,6799,13482.0,
7,6849,11750.9580078125,
7,6879,,13016.2890625
8,6899,12466.029296875,
8,6949,13799.5576171875,
8,6999,12908.8916015625,
8,7049,12092.6650390625,
8,7099,12656.470703125,
8,7149,13170.080078125,
8,7199,13157.5283203125,
8,7249,13156.9287109375,
8,7299,13779.0966796875,
8,7349,13110.166015625,
8,7399,12422.984375,
8,7449,12468.640625,
8,7499,11932.5732421875,
8,7549,13125.9306640625,
8,7599,12545.10546875,
8,7649,12859.6650390625,
8,7699,12565.34375,
8,7739,,12959.32421875
9,7749,12617.3291015625,
9,7799,13267.6328125,
9,7849,12965.716796875,
9,7899,12164.189453125,
9,7949,12646.73046875,
9,7999,11920.103515625,
9,8049,12559.9228515625,
9,8099,12324.1689453125,
9,8149,12140.216796875,
9,8199,12347.466796875,
9,8249,13266.927734375,
